"","0.01","0.011","0.012","0.013","0.014","0.015","0.016","0.017","0.018","0.019","0.02","0.021","0.022","0.023","0.024","0.025","0.026","0.027","0.028","0.029","0.03"
"(Intercept)",1.08352381477947,1.08374900058653,1.08400486739925,1.08388514900704,1.08339174945775,1.08290858851204,1.08242385153009,1.08195305170291,1.0814879569347,1.0810283419806,1.08057407498287,1.08012501309671,1.07968100399483,1.07924188806746,1.07880750037144,1.07837781370809,1.07795322595672,1.07753253919524,1.07711590740158,1.07670332678183,1.07629478280558
"age1",-0.0751300601612537,-0.0637477513675364,-0.0533346806306389,-0.0443925845634505,-0.0368016297653729,-0.0299470496877556,-0.0238634248904619,-0.0185048974105417,-0.0138691593457796,-0.00993684362608051,-0.00668827249849827,-0.00410380483127056,-0.00216390408829973,-0.00084919734017123,-0.000140527139944156,0,0,0,0,0,0
"age2",0.296959248205863,0.277276030469944,0.257597636555636,0.237713791787067,0.217557579841272,0.19740703636433,0.177241207176834,0.157078055181734,0.136925014766582,0.116791804972992,0.0966878743570227,0.0766220456746106,0.0566025210899252,0.0366368953027254,0.0167321722071957,0,0,0,0,0,0
"age3",0.170689662987504,0.159871228461142,0.148948222123804,0.137375121101998,0.125223738237634,0.113171152431694,0.101210861151233,0.0893335909750383,0.0775549765305018,0.0658805956277528,0.0543157457149352,0.0428653077335879,0.0315337658227245,0.0203252285830302,0.00924344991274198,0,0,0,0,0,0
"lwt1",0.422669392415683,0.397892958360276,0.373607545651704,0.350461549489589,0.328224988575853,0.306451045991583,0.285007996916829,0.263902241782616,0.243119193586515,0.222649128254423,0.202483661860537,0.182614485702394,0.16303337944975,0.143732233984446,0.124703071555554,0.106023250088379,0.087991352546644,0.0701233250259695,0.0524209469021654,0.0348857641362567,0.0175190983441108
"lwt2",-9.16726701321505e-05,-0.00572069498857899,-0.0107598968489715,-0.0148381823952261,-0.0180984066611976,-0.0208986457179273,-0.0231338166737545,-0.0249192861418628,-0.0261972729763296,-0.0269714001762568,-0.0272470874757108,-0.0270305068446041,-0.0263285201852856,-0.0251486250958242,-0.0234989003453985,-0.0214014982303349,-0.0189228147331134,-0.0160034639616048,-0.0126521092323582,-0.0088771257980959,-0.00468701001309463
"lwt3",0.31103318233604,0.29536022079615,0.279624591251099,0.264284881146964,0.249356846717771,0.234365463020658,0.219311490222359,0.204246983358424,0.189171212635669,0.17410006536895,0.159049324061678,0.144034262155632,0.129069598776894,0.114169463889397,0.0993473696535675,0.0846772112926991,0.0704098500633007,0.0562155253448671,0.0420987505133655,0.0280642513346689,0.014116540691283
"white",0.0876010403134635,0.0853187009603924,0.0830470884958794,0.0804570562583748,0.0775193159571618,0.0745888679719347,0.0716976236328185,0.0688008584668686,0.0659215673641133,0.0630597666152192,0.0602151646329407,0.0573874549982949,0.0545763198202051,0.0517814305095969,0.0490024486194545,0.0462164411670567,0.0433178323993126,0.0404241567819026,0.0375347923728811,0.0346495222634859,0.0317681403486347
"black",-0.0271399224466866,-0.0252890089350758,-0.0235259206624119,-0.0219674233490193,-0.0205979819415532,-0.01928678434256,-0.0180205786199844,-0.0168125846737088,-0.0156543570251322,-0.0145448298119869,-0.0134830161559536,-0.0124679077342846,-0.011498479204109,-0.0105736930894893,-0.00969250418597655,-0.00887828432227211,-0.00822132845141851,-0.00757855576652627,-0.00695009268393087,-0.00633593429410611,-0.00573604523950669
