"","0.035","0.036","0.037","0.038","0.039","0.04"
"(Intercept)",3.03634849726827,3.03630691734649,3.0362692345324,3.03609518674925,3.03546620522135,3.03485870370148
"age1",0.137419831967623,0.139867066735293,0.141996647588862,0.143647290630497,0.144336205080087,0.144956797604292
"age2",0.904268850659654,0.885819467697034,0.86738014424698,0.848870520054236,0.83001635298289,0.811279170440054
"age3",0.549634993698106,0.539063994026253,0.528480123667327,0.517578963404754,0.505576148364543,0.493641779289033
"lwt1",1.05640759396591,1.03395484441523,1.01147409570573,0.989368028525668,0.968400804834228,0.94772661464027
"lwt2",-0.148989973856108,-0.151532507144208,-0.153748743031738,-0.155498455915108,-0.156462256579986,-0.157462518267336
"lwt3",0.806793702542434,0.790611353616584,0.774435182681665,0.75858305977137,0.743869036516724,0.729191208773934
"white",0.220623771834583,0.218564392950289,0.216556662090097,0.214460589619746,0.21190994360731,0.209308428308681
"black",-0.0826309693979819,-0.08091861419732,-0.0792126719113376,-0.0775606252386273,-0.0760769093463265,-0.074629775041229
"smoke",-0.219603421818928,-0.217987222097204,-0.216412641145358,-0.214710865266212,-0.212449511371921,-0.210166605898744
"ptl1",-0.212932135657436,-0.210162126897143,-0.207354515668335,-0.20460269742283,-0.202154984104874,-0.199704299679866
"ptl2m",0.0956354113256247,0.0928118408961538,0.0900307870665436,0.0872623382601126,0.0844281042789551,0.0816597662542948
"ht",-0.375315623934304,-0.370142178318214,-0.364982406847245,-0.35981608604766,-0.354568314693258,-0.349337468139608
"ui",-0.408065271467523,-0.406238964053532,-0.404433991016353,-0.402619388287169,-0.400722611408868,-0.398828818470261
"ftv1",0.00764859773359559,0.00490517038302657,0.00213681833850085,0,0,0
"ftv2",0.0030551070601454,0.00197680388503787,0.000868807626186864,0,0,0
"ftv3m",-0.00905442416918846,-0.00572339070607268,-0.00245753160432251,0,0,0
"errors",0.438055084258053,0.439222623782656,0.440409523771747,0.44153528465614,0.442706878615028,0.443761875941271
