"","0.001","0.01","0.025","0.05","0.075","0.1","0.2","0.5","1"
"(Intercept)",3.04865067493958,3.04343480308379,3.03786002221244,3.02891243608755,3.01492479157931,3.00213547530334,2.94729609773121,2.9445873015873,2.9445873015873
"age1",-0.0791945253718719,0.00544440912778151,0.102036092675886,0.140737750741416,0.0589661818708379,0,0,0,0
"age2",1.57140962302851,1.38825038726085,1.09314883248651,0.625983565296041,0.179600383551951,0,0,0,0
"age3",0.900070576026623,0.810231208269267,0.655125367365872,0.376742999653366,0.104876462320231,0,0,0,0
"lwt1",1.9093873832201,1.66817622816464,1.29072537599026,0.746951677502147,0.286614956858267,0,0,0,0
"lwt2",0.061352838181824,-0.0178838122821609,-0.112945264048631,-0.158528827456223,-0.0935466678945131,0,0,0,0
"lwt3",1.36670391359794,1.21860330263032,0.970576194214684,0.582875974387598,0.227785190673873,0,0,0,0
"white",0.293500948897986,0.273260876493706,0.241065655218591,0.183456873709716,0.120258078339605,0.0516981484031124,0,0,0
"black",-0.155644763657144,-0.133733087606607,-0.101294827957517,-0.0610425669358145,-0.0333894023016013,-0.0140172374525271,0,0,0
"smoke",-0.281608542277614,-0.263454209926602,-0.236080501863253,-0.187778148261877,-0.134994530976994,-0.0788291602596412,0,0,0
"ptl1",-0.290345371554617,-0.273638343141072,-0.239412075374598,-0.174250541485038,-0.104530663950102,-0.0301162434598927,0,0,0
"ptl2m",0.226080596563079,0.184029401978326,0.126693437273923,0.0570033592132796,0.0163942524741629,0.00138151253777517,0,0,0
"ht",-0.562327509201128,-0.510852375339148,-0.428144754798712,-0.297744334322365,-0.173975416006484,-0.0614165743352463,0,0,0
"ui",-0.479515036705808,-0.458576586316872,-0.427039647467596,-0.380489133312151,-0.338670213032736,-0.292511478079187,-0.0182843739713639,0,0
"ftv1",0.0864387458046752,0.0688460305946166,0.0340320920471399,0,0,0,0,0,0
"ftv2",0.0247130493395272,0.0215370101540801,0.0123794450483232,0,0,0,0,0,0
"ftv3m",-0.164677394254658,-0.1159089260002,-0.0464616450000823,0,0,0,0,0,0
"errors",0.433231402697356,0.419563777983813,0.437747648357238,0.455961636397701,0.471258197193039,0.49611756386872,0.529910014090476,0.53294194721876,0.53294194721876
