penalty,log-penalty,age1,age2,age3,lwt1,lwt2,lwt3,white,black,smoke,ptl1,ptl2m,ht,ui,ftv1,ftv2,ftv3m,intercept,mse
0.0001,-4.0000,0.0430,0.1535,0.1044,0.1447,-0.0254,0.1280,0.1337,-0.0769,-0.1508,-0.0744,0.0625,-0.1206,-0.1573,0.0359,0.0442,-0.0557,2.9483,0.4942
0.0010,-3.0000,0.0066,0.1303,0.0599,0.1352,-0.0160,0.1223,0.1363,-0.0451,-0.1150,-0.0958,0.0112,-0.1322,-0.1916,0.0310,0.0082,-0.0337,2.9403,0.4181
0.0100,-2.0000,-0.0126,0.0945,0.0541,0.1267,0.0014,0.0901,0.1433,-0.0509,-0.1386,-0.1088,0.0150,-0.1371,-0.1545,0.0390,0.0220,-0.0115,2.9324,0.5108
0.0500,-1.3010,0.0000,0.0376,0.0188,0.0606,0.0000,0.0416,0.0826,-0.0132,-0.0867,-0.0626,0.0000,-0.1021,-0.1423,0.0124,0.0000,-0.0082,2.9327,0.5109
0.1000,-1.0000,0.0000,0.0317,0.0014,0.0364,-0.0044,0.0062,0.0582,0.0000,-0.0468,-0.0279,0.0000,-0.0177,-0.0911,0.0027,0.0000,0.0000,2.9535,0.4894
0.5000,-0.3010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9650,0.5483
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9613,0.4417
