penalty,log-penalty,age1,age2,age3,lwt1,lwt2,lwt3,white,black,smoke,ptl1,ptl2m,ht,ui,ftv1,ftv2,ftv3m,intercept,mse
0.0010,-3,-0.0053,0.1231,0.0597,0.1184,0.0129,0.1149,0.1795,-0.0425,-0.1543,-0.0701,0.0415,-0.1437,-0.1858,0.0226,0.0223,-0.0393,2.9584,0.4623
0.0100,-2,0.0165,0.0954,0.0766,0.1302,0.0015,0.1058,0.1310,-0.0517,-0.1221,-0.1093,0.0480,-0.1318,-0.1344,0.0175,0.0196,-0.0365,2.9300,0.4191
0.1000,-1,0.0010,0.0772,0.0312,0.0582,0.0000,0.0390,0.1029,-0.0247,-0.1318,-0.0376,0.0074,-0.0583,-0.1524,0.0279,0.0000,0.0000,2.9424,0.4018
0.2000,-0.6989700043,0.0010,0.0190,0.0024,0.0104,0.0000,0.0238,0.0596,0.0000,-0.0655,-0.0333,0.0000,-0.0431,-0.0903,0.0000,0.0000,0.0000,2.9418,0.4776
0.5000,-0.3010299957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,0.0000,0.0000,0.0000,2.9271,0.5481
1.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9289,0.4153
