"","0.001","0.01","0.05","0.1","0.2","0.5","1"
"(Intercept)",3.04927357972649,3.04399682125432,2.99862111924456,2.97451861554578,2.94729609773121,2.9445873015873,2.9445873015873
"age1",-0.0621126117264196,0,0,0,0,0,0
"age2",1.57671475509576,1.44051051842287,0.893538133354436,0.305271674803786,0,0,0
"age3",0.895935025384642,0.78086581048347,0.277461839300162,0,0,0,0
"lwt1",1.9117049185429,1.72064278608912,0.922138791531523,0.188841821495976,0,0,0
"lwt2",0.0478702657042929,0,0,0,0,0,0
"lwt3",1.36895070547208,1.23031669045937,0.643316528641855,0.0127156281429045,0,0,0
"white",0.293912700082324,0.283580137772934,0.240028719523993,0.1315299109623,0,0,0
"black",-0.154738654452084,-0.128034497587724,-0.0156065518331853,0,0,0,0
"smoke",-0.281138518932426,-0.264225200231336,-0.198028390816008,-0.0912396753272265,0,0,0
"ptl1",-0.292283099864395,-0.284813413430795,-0.225704188508818,-0.14210767582366,0,0,0
"ptl2m",0.223504256853284,0.153956928628921,0,0,0,0,0
"ht",-0.562222517754758,-0.516322737244609,-0.306829255474887,-0.0545396147704061,0,0,0
"ui",-0.478353526367475,-0.452482179034149,-0.360364466248038,-0.266681936403788,-0.0182843739713636,0,0
"ftv1",0.0855233633126966,0.0696453392572871,0.0211442404548328,0,0,0,0
"ftv2",0.021009209878155,0,0,0,0,0,0
"ftv3m",-0.167450577043733,-0.135558951958573,0,0,0,0,0
